"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/12/2024","AQS","160010010","7","0.5","ug/m3 LC","3","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/13/2024","AQS","160010010","7","-0.2","ug/m3 LC","0","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/14/2024","AQS","160010010","7","3.3","ug/m3 LC","18","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/15/2024","AQS","160010010","7","10.6","ug/m3 LC","54","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/16/2024","AQS","160010010","7","8.9","ug/m3 LC","49","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/17/2024","AQS","160010010","7","34","ug/m3 LC","97","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/18/2024","AQS","160010010","7","46.5","ug/m3 LC","128","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/19/2024","AQS","160010010","7","41.4","ug/m3 LC","116","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/20/2024","AQS","160010010","7","13.8","ug/m3 LC","60","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/21/2024","AQS","160010010","7","3.6","ug/m3 LC","20","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/22/2024","AQS","160010010","7","3.2","ug/m3 LC","18","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/23/2024","AQS","160010010","7","11.6","ug/m3 LC","56","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/24/2024","AQS","160010010","7","6.6","ug/m3 LC","37","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/25/2024","AQS","160010010","7","7.2","ug/m3 LC","40","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/26/2024","AQS","160010010","7","6.3","ug/m3 LC","35","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/27/2024","AQS","160010010","7","3","ug/m3 LC","17","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/28/2024","AQS","160010010","7","5.5","ug/m3 LC","31","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/29/2024","AQS","160010010","7","5.3","ug/m3 LC","29","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/30/2024","AQS","160010010","7","3.4","ug/m3 LC","19","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/31/2024","AQS","160010010","7","0.6","ug/m3 LC","3","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/01/2024","AQS","160010010","7","1.8","ug/m3 LC","10","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/02/2024","AQS","160010010","7","3.8","ug/m3 LC","21","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/03/2024","AQS","160010010","7","3.7","ug/m3 LC","21","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/04/2024","AQS","160010010","7","2.7","ug/m3 LC","15","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/05/2024","AQS","160010010","7","0.8","ug/m3 LC","4","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/06/2024","AQS","160010010","7","3.4","ug/m3 LC","19","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/07/2024","AQS","160010010","7","2.8","ug/m3 LC","16","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/08/2024","AQS","160010010","7","5.9","ug/m3 LC","33","Meridian - St. Luke's","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","171","Met-one BAM-1022 W/PM2.5 SCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
